Year,Month,TotalPrimaryEnergyConsumption,TotalPrimaryEnergyProduction,TotalPrimaryEnergyExports,TotalPrimaryEnergyImports,TotalPrimaryEnergyConsumedbytheIndustrialSector,TotalPrimaryEnergyConsumedbytheResidentialSector,PrimaryEnergyStockChange
1991,7,7098.77,5827.92,448.33,1570.14,1720.78,274.46,149.042
1991,8,7112.44,6016.6,442.34,1725.88,1773.88,265.22,-187.715
1991,9,6657.67,5720.24,426.83,1536.5,1813.48,280.8,-172.234
1991,10,6858.58,6026.45,424.92,1533.75,1860.35,396.62,-276.703
1991,11,7006.25,5777.71,457.32,1527.84,1783.04,659.53,158.015
1991,12,7683.27,5976.9,485.26,1532.56,1831.7,895.25,659.082
1992,1,7983.36,6206.22,448.02,1590.41,1892.96,1042.79,634.758
1992,2,7243.26,5655.06,362.81,1356.39,1721.54,913.85,594.618
1992,3,7348.6,5866.84,407.69,1483.56,1813.59,789.91,405.894
1992,4,6841.7,5630.73,408.69,1621.02,1741.7,614.53,-1.359
1992,5,6698.11,5692.59,427.79,1620.48,1740.99,409.09,-187.164
1992,6,6715.21,5700.25,418.89,1588.68,1759.54,310.11,-154.83
1992,7,7159.82,5846.06,436.03,1740.16,1817.65,281.56,9.631
1992,8,7029.23,5873.67,361.51,1700.6,1822.01,268.04,-183.54
1992,9,6682.17,5700.78,411.92,1631.1,1771.29,303.66,-237.799
1992,10,6901.63,5920.8,377.68,1755.18,1883.49,416.93,-396.662
1992,11,7078.63,5754.73,421.61,1622.57,1842.78,635.29,122.935
1992,12,8044.43,6066.71,454.31,1662.05,1891.6,964.67,769.97
1993,1,7906.82,5992.86,389.73,1680.29,1810.7,1068.71,623.401
1993,2,7419.79,5433.77,356.37,1522.01,1744.93,995.48,820.386
1993,3,7811.62,5925.29,337.86,1739.27,1895.67,931.36,484.915
1993,4,6902.82,5590.42,334.44,1757.4,1733.71,632.35,-110.557
1993,5,6645.6,5618.4,368.66,1769.18,1666.89,387.15,-373.319
1993,6,6843.16,5662.57,395.98,1764.12,1712.03,309.46,-187.543
1993,7,7307.74,5529.21,366.06,1904.23,1766.86,277.09,240.358
1993,8,7333.22,5685.5,313.2,1775.18,1808.92,275.49,185.735
1993,9,6815.06,5573.83,330.49,1731.56,1819.19,291.18,-159.841
1993,10,6983.06,5703.15,336.81,1913.72,1937.2,400.7,-297.004
1993,11,7280.57,5669.72,313.29,1819.95,1895,638.64,104.186
1993,12,8017.69,5887.94,383.79,1841.42,1893.32,933.7,672.121
1994,1,8584.5,5865.75,301.02,1721.8,2005.81,1216.72,1297.963
1994,2,7742.17,5511.96,268.12,1629.59,1842.85,1073.82,868.748
1994,3,7663.46,6182.23,342.26,1813.83,1866.33,839.97,9.653
1994,4,6979.17,5775.21,290.98,1818.28,1797.15,554.18,-323.337
1994,5,6886.15,5811.3,315.41,1911.31,1756.21,398.73,-521.044
1994,6,7161.98,5806.1,364.9,1869.23,1782.7,288.89,-148.46
1994,7,7390.64,5818.98,323.21,2041.83,1831.69,256.99,-146.952
1994,8,7472.47,6145.61,354.26,1987.29,1872.66,261.63,-306.169
1994,9,6881.23,5815.58,357.83,1957.68,1857.27,269.66,-534.198
1994,10,7070.61,5846.36,352.53,1862.74,1934.65,380.84,-285.952
1994,11,7148.13,5928.77,355.63,1794.39,1847.62,572.48,-219.386
1994,12,8004,6175.2,409.14,1898.72,1939.4,863.66,339.224
1995,1,8220.88,6135.86,350.85,1737.49,1904.34,1048.85,698.373
1995,2,7595.77,5584.87,337.21,1633.29,1799.35,978.57,714.827
1995,3,7741.17,6116.99,371.3,1931.92,1878.41,799.45,63.568
1995,4,7105.6,5701.05,375.56,1760.34,1838.32,591.21,19.778
1995,5,7150.66,5913.11,381.3,1847.71,1853.3,408,-228.859
1995,6,7231.93,5861.46,385.81,1931.51,1830.37,291.24,-175.227
1995,7,7626.03,5936.47,351.45,1868.92,1882.12,255.48,172.089
1995,8,7917.37,6083.95,359.06,1917.88,1945.22,242.51,274.605
1995,9,7135.6,5851.34,362.92,1987.28,1912.5,265.66,-340.093
1995,10,7224.25,6001.3,390.45,1838.62,1942.99,366.67,-225.219
1995,11,7572.34,5934.59,384.03,1862.52,1906.54,683.07,159.267
1995,12,8410.37,6008.13,445.95,1862.15,1964.62,1004.27,986.032
1996,1,8776.63,6059.14,382.04,1988.27,2005.17,1204.23,1111.26
1996,2,8104.03,5796.69,367.86,1691.4,1854.93,1077.62,983.8
1996,3,8191.76,6189.33,350.85,1925.05,1989.79,932.85,428.224
1996,4,7361.87,5926.72,373.2,1915,1848.4,649.34,-106.645
1996,5,7463.08,6090.3,371.11,2104.39,1881.72,418.6,-360.497
1996,6,7446.03,5947.81,380.94,2003.97,1907.3,294.46,-124.808
1996,7,7757.82,6143.93,389.24,2059.83,1919.36,250.51,-56.693
1996,8,7869.46,6270.73,375.19,2087.84,1985.69,247.7,-113.921
1996,9,7147.23,5882.13,417.92,1880.21,1885.46,275.3,-197.201
1996,10,7617.37,6132.08,413.46,2063.82,2103.69,410.35,-165.079
1996,11,7795.7,5911.37,401.8,1909.38,1979.16,721.36,376.755
1996,12,8404.84,6084.94,388.94,2004.1,1982.49,982.86,704.737
1997,1,8823.7,6254.98,390.12,2069.05,2061.4,1169.19,889.795
1997,2,7787.03,5746.24,330.23,1825.33,1849.61,968.59,545.694
1997,3,7985.14,6192.93,366.35,2067.56,1962.84,802.63,90.999
1997,4,7523.07,5885.51,354.53,2043.6,1955.32,603.59,-51.508
1997,5,7476.44,6192.85,357.21,2231.24,1945.44,424.5,-590.444
1997,6,7465.95,5907.54,354.16,2152.5,1893.65,291.13,-239.929
1997,7,8090.95,6114.26,371.34,2096.2,1971.97,252.88,251.829
1997,8,7909.85,6107.49,434.82,2187.52,1980.19,245.3,49.651
1997,9,7412.82,5971.86,374.96,2133.6,1928.83,258.73,-317.664
1997,10,7677.18,6120.93,403.3,2248.32,2074.75,384.31,-288.775
1997,11,7749.81,5763.21,351.99,2058.56,1950.84,676.35,280.021
1997,12,8606.32,6162.25,404.38,2005.76,2046.21,954.11,842.69
1998,1,8607.43,6401.5,404.92,2162.74,2015.14,1033.18,448.116
1998,2,7644.97,5711.26,314.85,1911.6,1808.33,884.29,336.958
1998,3,8168.63,6281.76,357.57,2114.95,1940.61,844.36,129.496
1998,4,7510.1,6005.14,368.49,2239.64,1887.58,559.43,-366.189
1998,5,7574.49,6152.07,395.84,2294.97,1877.46,362.95,-476.702
1998,6,7714.75,6028.08,366.91,2206.58,1823.27,276.81,-153.003
1998,7,8276.43,6126.84,362.57,2425.22,1954.76,248.55,86.938
1998,8,8225.68,6128.65,328.79,2329.72,1991.59,236.96,96.105
1998,9,7615.07,5865.65,341.73,2139.95,1911.2,233.3,-48.794
1998,10,7608.85,6122.03,347.72,2273.75,1997.6,348.01,-439.212
1998,11,7505.88,5855.8,302.76,2198.83,1885.01,560.88,-245.998
1998,12,8468.99,6147.63,344.58,2174.58,2021.29,822.86,491.362
1999,1,8911.85,6149.93,291.15,2230.37,1942.51,1170.28,822.705
1999,2,7808.51,5743.73,239.29,2053.82,1749.24,913.02,250.248
1999,3,8369.5,6198.13,274.65,2269.66,1880.38,889.22,176.366
1999,4,7655.63,5773.11,342.86,2344.19,1844.73,579.64,-118.802
1999,5,7622.28,5890.5,291.12,2397.6,1829.81,369.83,-374.705
1999,6,7804.1,5939.67,309.18,2270.25,1853.54,279.49,-96.642
1999,7,8368.26,6055.36,311.04,2444.24,1894.56,244.03,179.707
1999,8,8376.9,6115.24,324.31,2368.84,2003.69,238.44,217.118
1999,9,7611.08,5883.39,298.72,2207.96,1986.13,257.21,-181.56
1999,10,7713.48,5874.52,334.3,2261.4,1983.79,389.09,-88.142
1999,11,7633.34,5934.44,311.81,2118,1915.42,549.73,-107.289
1999,12,8670.98,6127.56,340.37,2185.27,1994.99,893.32,698.529
2000,1,8945.5,6023.28,318.53,2202.71,1885.43,1126.86,1038.043
2000,2,8402.2,5742.82,262.37,2197.32,1858.44,1001.83,724.425
2000,3,8293.29,6284.13,360.5,2358.66,1903.49,749.53,10.993
2000,4,7669.7,5727.98,303.16,2364.97,1793.92,565.1,-120.092
2000,5,8025.76,6023.27,319.38,2401.08,1933.02,368.12,-79.212
2000,6,8002.82,5961.74,316.96,2455.86,1888.67,275.68,-97.827
2000,7,8230.39,5951.47,308.01,2481.72,1876.96,248.35,105.211
2000,8,8542.55,6185.37,377.36,2592.8,1999.09,259.87,141.744
2000,9,7692.32,5771.77,318.83,2440.13,1906.96,277.46,-200.748
2000,10,7760.53,5948.32,368.95,2425.01,1937.36,398.55,-243.858
2000,11,7939.98,5828.95,371.59,2352.36,1841.63,685.91,130.264
2000,12,9198.44,5821.44,336.05,2592.63,1923.96,1199.77,1120.417
2001,1,9229,6109.59,343.02,2684.01,1897.6,1259.61,778.427
2001,2,8072.48,5530.6,281.42,2275.47,1731.93,1011.6,547.824
2001,3,8473.22,6180.12,286.02,2614.86,1875.23,910.14,-35.736
2001,4,7638.08,5791.09,310.31,2596.39,1811.59,568.74,-439.099
2001,5,7629.03,6063.59,352.24,2653.39,1793.73,342.47,-735.707
2001,6,7652.56,5977.75,299.52,2431.72,1722.9,269.27,-457.387
2001,7,8144.37,5988,275.28,2580.34,1789.05,250.35,-148.702
2001,8,8303.25,6203.55,334.29,2533.41,1857.93,243.05,-99.427
2001,9,7400.55,5806.79,287.77,2452.07,1764.81,249.28,-570.544
2001,10,7717.42,6138.28,310.51,2453.1,1907.25,390.69,-563.444
2001,11,7543.83,5922.88,325.16,2400.78,1800.57,535.36,-454.665
